C:\Users\NCEPU\Documents\Visual Studio 2015\Projects\ImportData\ImportData\¹øÂ¯Ğ§ÂÊ01.csv
file	line	process	state
1/1	3	0.0022%	success
1/1	4	0.0045%	success
1/1	5	0.0067%	success
1/1	6	0.009%	faild
1/1	7	0.011%	faild
1/1	8	0.013%	faild
1/1	9	0.016%	faild
1/1	10	0.018%	faild
1/1	11	0.02%	faild
1/1	12	0.022%	faild
1/1	13	0.025%	faild
1/1	14	0.027%	faild
1/1	15	0.029%	faild
1/1	16	0.031%	faild
1/1	17	0.034%	faild
1/1	18	0.036%	faild
1/1	19	0.038%	faild
1/1	20	0.04%	faild
1/1	21	0.043%	faild
1/1	22	0.045%	faild
1/1	23	0.047%	faild
1/1	24	0.049%	faild
1/1	25	0.052%	faild
1/1	26	0.054%	faild
1/1	27	0.056%	faild
1/1	28	0.058%	faild
1/1	29	0.06%	faild
1/1	30	0.063%	faild
1/1	31	0.065%	faild
1/1	32	0.067%	faild
1/1	33	0.069%	faild
1/1	34	0.072%	faild
1/1	35	0.074%	faild
1/1	36	0.076%	faild
1/1	37	0.078%	faild
1/1	38	0.081%	faild
1/1	39	0.083%	faild
1/1	40	0.085%	faild
1/1	41	0.087%	faild
1/1	42	0.09%	faild
1/1	43	0.092%	faild
1/1	44	0.094%	faild
1/1	45	0.096%	faild
1/1	46	0.099%	faild
1/1	47	0.1%	faild
1/1	48	0.1%	faild
1/1	49	0.11%	faild
1/1	50	0.11%	faild
1/1	51	0.11%	faild
1/1	52	0.11%	faild
1/1	53	0.11%	faild
1/1	54	0.12%	faild
1/1	55	0.12%	faild
1/1	56	0.12%	faild
1/1	57	0.12%	faild
1/1	58	0.13%	faild
1/1	59	0.13%	faild
1/1	60	0.13%	faild
1/1	61	0.13%	faild
1/1	62	0.13%	faild
1/1	63	0.14%	faild
1/1	64	0.14%	faild
1/1	65	0.14%	faild
1/1	66	0.14%	faild
1/1	67	0.15%	faild
1/1	68	0.15%	faild
1/1	69	0.15%	faild
1/1	70	0.15%	faild
1/1	71	0.15%	faild
1/1	72	0.16%	faild
1/1	73	0.16%	faild
1/1	74	0.16%	faild
1/1	75	0.16%	faild
1/1	76	0.17%	faild
1/1	77	0.17%	faild
1/1	78	0.17%	faild
1/1	79	0.17%	faild
1/1	80	0.17%	faild
1/1	81	0.18%	faild
1/1	82	0.18%	faild
1/1	83	0.18%	faild
1/1	84	0.18%	faild
1/1	85	0.19%	faild
1/1	86	0.19%	faild
1/1	87	0.19%	faild
1/1	88	0.19%	faild
1/1	89	0.19%	faild
1/1	90	0.2%	faild
1/1	91	0.2%	faild
1/1	92	0.2%	faild
1/1	93	0.2%	faild
1/1	94	0.21%	faild
1/1	95	0.21%	faild
1/1	96	0.21%	faild
1/1	97	0.21%	faild
1/1	98	0.22%	faild
1/1	99	0.22%	faild
1/1	100	0.22%	faild
1/1	101	0.22%	faild
1/1	102	0.22%	faild
1/1	103	0.23%	faild
1/1	104	0.23%	faild
1/1	105	0.23%	faild
1/1	106	0.23%	faild
1/1	107	0.24%	faild
1/1	108	0.24%	faild
1/1	109	0.24%	faild
1/1	110	0.24%	faild
1/1	111	0.24%	faild
1/1	112	0.25%	faild
1/1	113	0.25%	faild
1/1	114	0.25%	faild
1/1	115	0.25%	faild
1/1	116	0.26%	faild
1/1	117	0.26%	faild
1/1	118	0.26%	faild
1/1	119	0.26%	faild
1/1	120	0.26%	faild
1/1	121	0.27%	faild
1/1	122	0.27%	faild
1/1	123	0.27%	faild
1/1	124	0.27%	faild
1/1	125	0.28%	faild
1/1	126	0.28%	faild
1/1	127	0.28%	faild
1/1	128	0.28%	faild
1/1	129	0.28%	faild
1/1	130	0.29%	faild
1/1	131	0.29%	faild
1/1	132	0.29%	faild
1/1	133	0.29%	faild
1/1	134	0.3%	faild
1/1	135	0.3%	faild
1/1	136	0.3%	faild
1/1	137	0.3%	faild
1/1	138	0.3%	faild
1/1	139	0.31%	faild
1/1	140	0.31%	faild
1/1	141	0.31%	faild
1/1	142	0.31%	faild
1/1	143	0.32%	faild
1/1	144	0.32%	faild
1/1	145	0.32%	faild
1/1	146	0.32%	faild
1/1	147	0.32%	faild
1/1	148	0.33%	faild
1/1	149	0.33%	faild
1/1	150	0.33%	faild
1/1	151	0.33%	faild
1/1	152	0.34%	faild
1/1	153	0.34%	faild
1/1	154	0.34%	faild
1/1	155	0.34%	faild
1/1	156	0.34%	faild
1/1	157	0.35%	faild
1/1	158	0.35%	faild
1/1	159	0.35%	faild
1/1	160	0.35%	faild
1/1	161	0.36%	faild
1/1	162	0.36%	faild
1/1	163	0.36%	faild
1/1	164	0.36%	faild
1/1	165	0.37%	faild
1/1	166	0.37%	faild
1/1	167	0.37%	faild
1/1	168	0.37%	faild
1/1	169	0.37%	faild
1/1	170	0.38%	faild
1/1	171	0.38%	faild
1/1	172	0.38%	faild
1/1	173	0.38%	faild
1/1	174	0.39%	faild
1/1	175	0.39%	faild
1/1	176	0.39%	faild
1/1	177	0.39%	faild
1/1	178	0.39%	faild
1/1	179	0.4%	faild
1/1	180	0.4%	faild
1/1	181	0.4%	faild
1/1	182	0.4%	faild
1/1	183	0.41%	faild
1/1	184	0.41%	faild
1/1	185	0.41%	faild
1/1	186	0.41%	faild
1/1	187	0.41%	faild
1/1	188	0.42%	faild
1/1	189	0.42%	faild
1/1	190	0.42%	faild
1/1	191	0.42%	faild
1/1	192	0.43%	faild
1/1	193	0.43%	faild
1/1	194	0.43%	faild
1/1	195	0.43%	faild
1/1	196	0.43%	faild
1/1	197	0.44%	faild
1/1	198	0.44%	faild
1/1	199	0.44%	faild
1/1	200	0.44%	faild
1/1	201	0.45%	faild
1/1	202	0.45%	faild
1/1	203	0.45%	faild
1/1	204	0.45%	faild
1/1	205	0.45%	faild
1/1	206	0.46%	faild
1/1	207	0.46%	faild
1/1	208	0.46%	faild
1/1	209	0.46%	faild
1/1	210	0.47%	faild
1/1	211	0.47%	faild
1/1	212	0.47%	faild
1/1	213	0.47%	faild
1/1	214	0.47%	faild
1/1	215	0.48%	faild
1/1	216	0.48%	faild
1/1	217	0.48%	faild
1/1	218	0.48%	faild
1/1	219	0.49%	faild
1/1	220	0.49%	faild
1/1	221	0.49%	faild
1/1	222	0.49%	faild
1/1	223	0.5%	faild
1/1	224	0.5%	faild
1/1	225	0.5%	faild
1/1	226	0.5%	faild
1/1	227	0.5%	faild
1/1	228	0.51%	faild
1/1	229	0.51%	faild
1/1	230	0.51%	faild
1/1	231	0.51%	faild
1/1	232	0.52%	faild
1/1	233	0.52%	faild
1/1	234	0.52%	faild
1/1	235	0.52%	faild
1/1	236	0.52%	faild
1/1	237	0.53%	faild
1/1	238	0.53%	faild
1/1	239	0.53%	faild
1/1	240	0.53%	faild
1/1	241	0.54%	faild
1/1	242	0.54%	faild
1/1	243	0.54%	faild
1/1	244	0.54%	faild
1/1	245	0.54%	faild
1/1	246	0.55%	faild
1/1	247	0.55%	faild
1/1	248	0.55%	faild
1/1	249	0.55%	faild
1/1	250	0.56%	faild
1/1	251	0.56%	faild
1/1	252	0.56%	faild
1/1	253	0.56%	faild
1/1	254	0.56%	faild
1/1	255	0.57%	faild
1/1	256	0.57%	faild
1/1	257	0.57%	faild
1/1	258	0.57%	faild
1/1	259	0.58%	faild
1/1	260	0.58%	faild
1/1	261	0.58%	faild
1/1	262	0.58%	faild
1/1	263	0.58%	faild
1/1	264	0.59%	faild
1/1	265	0.59%	faild
1/1	266	0.59%	faild
1/1	267	0.59%	faild
1/1	268	0.6%	faild
1/1	269	0.6%	faild
1/1	270	0.6%	faild
1/1	271	0.6%	faild
1/1	272	0.6%	faild
1/1	273	0.61%	faild
1/1	274	0.61%	faild
1/1	275	0.61%	faild
1/1	276	0.61%	faild
1/1	277	0.62%	faild
1/1	278	0.62%	faild
1/1	279	0.62%	faild
1/1	280	0.62%	faild
1/1	281	0.62%	faild
1/1	282	0.63%	faild
1/1	283	0.63%	faild
1/1	284	0.63%	faild
1/1	285	0.63%	faild
1/1	286	0.64%	faild
1/1	287	0.64%	faild
1/1	288	0.64%	faild
1/1	289	0.64%	faild
1/1	290	0.65%	faild
1/1	291	0.65%	faild
1/1	292	0.65%	faild
1/1	293	0.65%	faild
1/1	294	0.65%	faild
1/1	295	0.66%	faild
1/1	296	0.66%	faild
1/1	297	0.66%	faild
1/1	298	0.66%	faild
1/1	299	0.67%	faild
1/1	300	0.67%	faild
1/1	301	0.67%	faild
1/1	302	0.67%	faild
1/1	303	0.67%	faild
1/1	304	0.68%	faild
1/1	305	0.68%	faild
1/1	306	0.68%	faild
1/1	307	0.68%	faild
1/1	308	0.69%	faild
1/1	309	0.69%	faild
1/1	310	0.69%	faild
1/1	311	0.69%	faild
1/1	312	0.69%	faild
1/1	313	0.7%	faild
1/1	314	0.7%	faild
1/1	315	0.7%	faild
1/1	316	0.7%	faild
1/1	317	0.71%	faild
1/1	318	0.71%	faild
1/1	319	0.71%	faild
1/1	320	0.71%	faild
1/1	321	0.71%	faild
1/1	322	0.72%	faild
1/1	323	0.72%	faild
1/1	324	0.72%	faild
1/1	325	0.72%	faild
1/1	326	0.73%	faild
1/1	327	0.73%	faild
1/1	328	0.73%	faild
1/1	329	0.73%	faild
1/1	330	0.73%	faild
1/1	331	0.74%	faild
1/1	332	0.74%	faild
1/1	333	0.74%	faild
1/1	334	0.74%	faild
1/1	335	0.75%	faild
1/1	336	0.75%	faild
1/1	337	0.75%	faild
1/1	338	0.75%	faild
1/1	339	0.75%	faild
1/1	340	0.76%	faild
1/1	341	0.76%	faild
1/1	342	0.76%	faild
1/1	343	0.76%	faild
1/1	344	0.77%	faild
1/1	345	0.77%	faild
1/1	346	0.77%	faild
1/1	347	0.77%	faild
1/1	348	0.78%	faild
1/1	349	0.78%	faild
1/1	350	0.78%	faild
1/1	351	0.78%	faild
1/1	352	0.78%	faild
1/1	353	0.79%	faild
1/1	354	0.79%	faild
1/1	355	0.79%	faild
1/1	356	0.79%	faild
